text,category
I am still waiting on my card?,card_arrival
What can I do if my card still hasn't arrived after 2 weeks?,card_arrival
I have been waiting over a week. Is the card still coming?,card_arrival
Can I track my card while it is in the process of delivery?,card_arrival
"How do I know if I will get my card, or if it is lost?",card_arrival
When did you send me my new card?,card_arrival
Do you have info about the card on delivery?,card_arrival
What do I do if I still have not received my new card?,card_arrival
Does the package with my card have tracking?,card_arrival
I ordered my card but it still isn't here,card_arrival
Why has my new card still not come?,card_arrival
"I still haven't received my card after two weeks, is it lost?",card_arrival
Can you track my card for me?,card_arrival
Is there a way to track the delivery of my card?,card_arrival
It's been a week since I ordered my card and it's not here. Please help?,card_arrival
Will I be able to track the card that was sent to me?,card_arrival
I don't have my card in 1 week.  Should I be worried?,card_arrival
How do I know when my new card is going to arrive?,card_arrival
My new card has not been delivered to my home yet. What is going on?,card_arrival
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,card_arrival
"On the card that is coming, what's the tracking info?",card_arrival
What is the status of my card's delivery?,card_arrival
Have you sent out my card yet?,card_arrival
My card isn't here yet.,card_arrival
where is my new card?,card_arrival
It's been a week since you sent my card and I still don't have it.,card_arrival
How do I track the card you sent me?,card_arrival
When will I recieve my new card?,card_arrival
When will I get my new card?,card_arrival
What is the expected delivery date for my card?,card_arrival
Is there a tracking number for the card you sent me?,card_arrival
I would like to track the card you sent to me.,card_arrival
Has my card been lost in delivery?,card_arrival
My new card hasn't came in.,card_arrival
Where is the card I ordered 2 weeks ago?,card_arrival
Can I get an update on my replacement card?,card_arrival
How long does it take for a new card to ship?,card_arrival
What's the tracking on the card you sent?,card_arrival
I haven't received my card and am worried it is lost.,card_arrival
My card still hasn't been delivered,card_arrival
I need to find out where the card is that I ordered.,card_arrival
Where is my credit card that was to be mailed?,card_arrival
I ordered my card but it hasn't been delivered yet,card_arrival
Am I able to track the card that was just sent to me?,card_arrival
Can you tell me why I haven't received my new card?,card_arrival
I'm still waiting for my new card.,card_arrival
Is my card lost? I am still waiting for it to be delivered.,card_arrival
Should I keep waiting for my card to be delivered?,card_arrival
Can I track when my card will be delivered?,card_arrival
How can I check on the status of my new card?,card_arrival
"A card has been sent to me, how do I track it?",card_arrival
Is there a way I can get my card expedited?,card_arrival
What can I do to track the card you sent me?,card_arrival
why hasnt my card come in yet?,card_arrival
How can I periodically check the delivery of the card you sent?,card_arrival
What's the reason my new card hasn't come?,card_arrival
How long does it take for me to get my new card?,card_arrival
I don't have my card after 1 week. What are my next steps?,card_arrival
I know I'm getting a new card but would like know when I can expect to receive it.,card_arrival
I want to find out what happened to my new card?,card_arrival
Was there a way for me to get tracking for that?,card_arrival
I am still waiting for my card.,card_arrival
My card hasn't arrived.,card_arrival
Can I track the card you sent to me?,card_arrival
I haven't gotten my new card.,card_arrival
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,card_arrival
Will I have to wait much longer for my new card to arrive?,card_arrival
how to track the card you sent,card_arrival
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,card_arrival
How can I check on the delivery status of my card?,card_arrival
"My card has not been delivered yet and its been a week since I ordered it, please help",card_arrival
What's the expected wait time to recieve my new card?,card_arrival
How can I see the progress of delivery of the card that was sent?,card_arrival
"My card was supposed to arrive, but hasn't?",card_arrival
I ordered a card and would like to know how to track the delivery progress of it.,card_arrival
How long will it take for me to get my card?,card_arrival
My card hasn't shown up yet.,card_arrival
Does the card you sent have a tracking number?,card_arrival
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,card_arrival
maximum how many days get the courier?,card_arrival
Is there a reason my new card hasn't arrived yet?,card_arrival
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival
How can I track my card's delivery?,card_arrival
Can I track the card that was just sent to me?,card_arrival
"If I ordered my new card last week, how much longer should I wait to receive it?",card_arrival
"What's go on, where is my new card?",card_arrival
Where is my new card if I haven't received it yet?,card_arrival
Where is my card?,card_arrival
Can you tell me why I haven't received my new card yet?,card_arrival
Is there a way to track my card?,card_arrival
Is there a way to track the new card you sent me?,card_arrival
I'm still waiting for my card.,card_arrival
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival
WHAT IS THE SOLUTION OF THIS PROBLEM,card_arrival
Could I get tracking on the card?,card_arrival
Can you help me track my card?,card_arrival
Shouldn't my new card be here by now?,card_arrival
Is there a reason my new card hasn't arrived?,card_arrival
"I would like to track a card sent to me, how do I do that?",card_arrival
Is there a tracking number for the card?,card_arrival
can you share card tracking number?,card_arrival
"I have not received my card and it's been a week, what do I do?",card_arrival
Is there a way I can check on the card on route to me?,card_arrival
When will my new card arrive?,card_arrival
Why haven't I received my new card yet?,card_arrival
What is the expected delivery date of my card?,card_arrival
My card hasn't came in the mail yet?,card_arrival
I haven't received my card.,card_arrival
Is it possible for me to track the card is was mailed to me?,card_arrival
When will my new card be delivered?,card_arrival
I was issued a card about a week ago. why hasn't it come in yet?,card_arrival
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival
I still haven't received my card in the mail,card_arrival
I'm still waiting for my card that was issued a week ago. What should I do?,card_arrival
I still haven't gotten my new card.  When will it get here?,card_arrival
Do you have a tracking number for the card I was sent?,card_arrival
How do I track the card you sent to me?,card_arrival
Is my new bank card on the way and is there a way to track it?,card_arrival
Could you send me and up date on the arrival of my card?,card_arrival
How long does it take to recieve my new card?,card_arrival
My card has not come in the mail yet.,card_arrival
What's the card you sent me's tracking number?,card_arrival
i havent got my card,card_arrival
Why hasn't my card arrived yet?,card_arrival
I thought I would have received my new card at this point.,card_arrival
How long until my new card gets here?,card_arrival
How much longer until I get my new card?,card_arrival
Am I able to track a card that has already been sent?,card_arrival
Is it possible to track the card you sent me?,card_arrival
How long will it be to get this new card?,card_arrival
how can i track card you sent,card_arrival
Can the card was sen to me be tracked?,card_arrival
why have i not got my new card?,card_arrival
I need to track the card sent to me.,card_arrival
"It's been two weeks and I haven't gotten my card, what do I do?",card_arrival
I was expecting my new card by now.,card_arrival
Where is the tracking number for the card?,card_arrival
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_arrival
Can I track the card that you sent me in the mail?,card_arrival
Can you tell me if I can track the card you sent me?,card_arrival
Why have I not gotten my new card?,card_arrival
I'm still waiting on my new card to be delivered!,card_arrival
My new card isn't here and it was issued a week ago.,card_arrival
"I was supposed to receive my new card by now, but it hasn't came in.",card_arrival
Is a tracking number available for the card that was just sent?,card_arrival
Why haven't I gotten my new card?,card_arrival
Was there a number to track that I could get?,card_arrival
How much longer is it going to take to get my new card?,card_arrival
I haven't gotten my credit card in the mail.,card_arrival
My card hasn't arrived yet. What do I do?,card_arrival
"My card still hasn't arrived after two weeks, now what?",card_arrival
My card appears to have never arrived?,card_arrival
My card never arrived.,card_arrival
My card has been found. Is there any way for me to put it back into the app?,card_linking
I was able to find my card. How to I go about putting it into my app?,card_linking
how do I get my card to show in the app?,card_linking
I just got my card.  It's not linked yet--how do I do that?,card_linking
"lost card found, want to put it back in app",card_linking
"I just got a card, how can I add it to the app?",card_linking
Is there any way to see my card in the app?,card_linking
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking
I found my card. How can I put it into my app?,card_linking
How do I make my card show up in the app?,card_linking
Can you show me where to link the new card?,card_linking
I found my old card. Can I link it back into the app?,card_linking
"Show me how to link the new card,",card_linking
How do I add an existing card to the app?,card_linking
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,card_linking
How do I link one of your card that I already have?,card_linking
If I have a physical card can I link it?,card_linking
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,card_linking
Can I add a card that I just found (again) to the app?,card_linking
How can I make my card show up in the app?,card_linking
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",card_linking
"Okay, I found my card, can I put it back in the app?",card_linking
Can I reactivate a card?,card_linking
I would like to reactivate a card and wondered if that could be done?,card_linking
"I got my card now, how do I make it show up in the app?",card_linking
How do I link an existing card?,card_linking
How do I link a new card in the app?,card_linking
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",card_linking
I already have a card and want to link it,card_linking
Can you please reactivate my card?,card_linking
Where do I go to add a new card?,card_linking
I want my card I just received to show up in the app. How do I do that?,card_linking
"I received my card, how do I get it to show in the app?",card_linking
If I have a credit card with you how I get set up to link to it?,card_linking
How do I add my new card?,card_linking
"I want to reactivate my card, I thought I had lost it but found it again this morning.",card_linking
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",card_linking
My card is no longer lost. How do I enter it back into the app?,card_linking
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",card_linking
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",card_linking
How do I reactivate a card I thought I lost?,card_linking
Help me figure out how to link the new card.,card_linking
I found my lost card. Am I still able to use it?,card_linking
Will I need a new card or can I put my old card back into the app?,card_linking
Is there a way to link the card i just got?,card_linking
How do I add a new card?,card_linking
"I want to reactivate my card, I found it after thinking it was lost.",card_linking
Can I put my old card back in the app?,card_linking
"I got a new card, how do I link it?",card_linking
I found the card I thought I lost this morning. Can I reactivate this card?,card_linking
How do i go about linking a new card?,card_linking
how do i get the card linked,card_linking
"I have one of your cards, but I don't know how to link it.",card_linking
how do I link an old card?,card_linking
I received my card. How do I link it to the app?,card_linking
"Now that I have my card, how do I connect it to the app?",card_linking
How do I add the card I just received to show up in the app?,card_linking
"I want to reactivate my card, I thought I had lost it but I found it.",card_linking
What do I need to do to link my new card for my account?,card_linking
Can I add a card to back into the app?,card_linking
I want to link my new card. Can you help?,card_linking
What is the process to link the new card?,card_linking
"I found my card, am I able to put it back into the app?",card_linking
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",card_linking
Where can I link a new card?,card_linking
How do I add a card on to the app?,card_linking
"I found my card in my jacket this morning, so can I reactivate it?",card_linking
"I've obtained the card, how do I enable it on the app?",card_linking
I need to find the card I received in the app.,card_linking
How do I get my card on the app?,card_linking
"In the app, how can I make it show the new card that arrived?",card_linking
How do I link my new card?,card_linking
Can I activate a card in the app?,card_linking
"I want to link to my card card with you, how?",card_linking
I would like to link my card to my account.,card_linking
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",card_linking
How can I link the new card?,card_linking
I got a new card and can't find where to link it.,card_linking
"Hey, I have my card, how do I get it to show in the app?",card_linking
Where in the app do I go to make my new card show up?,card_linking
Where do I scan my card?,card_linking
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking
Can I link my card I previously received?,card_linking
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking
You sent me a card and now I want to link it.,card_linking
How do I add my new card to the app?,card_linking
Can I add a card back to the app?,card_linking
What if I want to add a card I already have to the app?,card_linking
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",card_linking
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",card_linking
Is there a way to link cards if I have one of yours?,card_linking
If my card was lost or stolen can I re-link it?,card_linking
How do I link a new card to an existing one?,card_linking
How do I link a new payment card?,card_linking
I would like to reactivate my card that I previously reported lost. I located the card this morning.,card_linking
"Card has been received, how will it show up on the app?",card_linking
Can I re-link a lost card with the app?,card_linking
What do I do to link my new card?,card_linking
Is it possible to link a new card?,card_linking
I deactivated my card but would like to reactivate it.,card_linking
"I found my card that I thought I had lost, I need to reactive it, please help.",card_linking
can I link a card of yours I already have?,card_linking
Can I put my found card back into the app on my phone?,card_linking
"My card arrived but I need to make it work in the app, how do I do that?",card_linking
"I found the card that I thought I lost, and I would like to reactivate it.",card_linking
I found my card again. Can I put it back into the app?,card_linking
I need some help linking my new card.,card_linking
help me link my card,card_linking
How do I link my card in the app.,card_linking
How do I get my card into the app?,card_linking
I found my card! Can I link it back into the app?,card_linking
How do I reactivate my card?,card_linking
Where do I go to get my new card linked?,card_linking
"I thought I lost my card but I found it today, so I would like to reactivate it.",card_linking
How do I link the new card that I just got from you guys?,card_linking
How can I add a new card?,card_linking
Can you tell me how to get my card on the app?,card_linking
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,card_linking
How do I make my card appear on the app?,card_linking
How do I link the new card?,card_linking
Where in the app do I link a new card?,card_linking
How do I add my card to the app once I get it?,card_linking
Can I link your physical card,card_linking
How do I activate and link my new card?,card_linking
"I got a card, how do I get it in the app?",card_linking
I received my new card.  Where is it in the app?,card_linking
"I found my card, how can I use it again?",card_linking
"I just received a new card, where do I go to link it to my account?",card_linking
"found card, how to put it back in app",card_linking
How do I see my card in the app?,card_linking
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",card_linking
I don't see my card anywhere in the app.,card_linking
"I received my card, how do I get it to work in the app?",card_linking
What do I do if I already had a card with you guys?,card_linking
if i found a lost card can i put it back in app,card_linking
I have a card that was deactivated can I reactivate it?,card_linking
"My new card isn't in my app, how do I get it in there?",card_linking
Help me access the card I already got so I can information from it.,card_linking
I would like to know why a withdraw I made for some cash shows up as pending.,pending_cash_withdrawal
Why is my cash withdrawal still showing as pending?,pending_cash_withdrawal
"I have the cash already, my account still shows up as pending.  How can my account be still pending?",pending_cash_withdrawal
I tried to get cash out of the ATM but it is taking too long,pending_cash_withdrawal
Why is the cash withdrawal under pending?,pending_cash_withdrawal
What does it mean if my cash withdrawal does not show up properly?,pending_cash_withdrawal
"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",pending_cash_withdrawal
Why is my ATM withdrawal still pending?,pending_cash_withdrawal
Is the cash withdrawal going to show?,pending_cash_withdrawal
"Cash withdrawal has been pending, why is it so?",pending_cash_withdrawal
My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,pending_cash_withdrawal
How long does it take to verify a cash withdraw?,pending_cash_withdrawal
"The transaction for the cash I pulled out of the ATM earlier is pending in the app, but how if I already have the cash?",pending_cash_withdrawal
Why has my withdrawal not posted?,pending_cash_withdrawal
"When I used one of the ATMs in the city centre today, I tried to take out some money, but for whatever reason, the machine declined my card. Just checked it out in my account and that amount is still showing as pending! Is there any way that you can cancel this transaction, because I did not receive any money whatsoever from the ATM",pending_cash_withdrawal
Why is the cash withdraw I made shown as pending?,pending_cash_withdrawal
"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",pending_cash_withdrawal
Should my cash withdrawal still be pending?,pending_cash_withdrawal
"Hey, I tried to withdraw some cash earlier and it's saying it's pending? Will I be charged for this?",pending_cash_withdrawal
There should be a cash withdrawal that I haven't seen yet.,pending_cash_withdrawal
Why is the app showing a still pending message on a withdraw that has already been done?,pending_cash_withdrawal
Why is my cash withdrawal still pending?,pending_cash_withdrawal
"If my cash withdrawal is still not showing, is something wrong?",pending_cash_withdrawal
I noticed on my online statement that an ATM withdrawal I made early is still pending.  Is this accurate?,pending_cash_withdrawal
I made a cash withdrawal at an ATM but it still says pending in my account.,pending_cash_withdrawal
I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money!,pending_cash_withdrawal
Why hasn't my withdrawal shown on my statement?,pending_cash_withdrawal
I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,pending_cash_withdrawal
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,pending_cash_withdrawal
I tried to withdraw cash at an ATM in the city center but my card was declined. The transaction is still showing up as pending - please cancel it!,pending_cash_withdrawal
How long does it take for a cash withdrawal to show?,pending_cash_withdrawal
"I tried to access money earlier but the machine seems not to be working. After looking, the transaction actually shows to still being process. Can you find out what is going on here? I don't want to be charged for some money I never got.",pending_cash_withdrawal
Why is my cash withdrawal pending?,pending_cash_withdrawal
I withdrew cash but it still shows as pending?,pending_cash_withdrawal
"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",pending_cash_withdrawal
I got some cash in the ATM but its still pending,pending_cash_withdrawal
"So much time has gone by, the pending status shouldn't still be there shouldn't it?",pending_cash_withdrawal
Do you know when the withdrawal will show?,pending_cash_withdrawal
How long will my cash withdrawal take,pending_cash_withdrawal
Why do I still have a pending cash withdrawal?,pending_cash_withdrawal
I have a withdrawal waiting to go through.,pending_cash_withdrawal
How long does it take for a pending cash withdrawal?,pending_cash_withdrawal
I took out some cash from the ATM but it is still showing the transaction is pending.,pending_cash_withdrawal
How are cash withdrawals pending?,pending_cash_withdrawal
"I went to an ATM to get cash, but the app says the withdrawal is still pending. How is that possible when I already have the cash with me?",pending_cash_withdrawal
My cash withdrawal isnt showing on my account,pending_cash_withdrawal
What does pending mean on a cash withdrawal?,pending_cash_withdrawal
I'm expecting to see a cash withdrawal but I'm still waiting.,pending_cash_withdrawal
"So earlier I went to an ATM and got cash. But when I checked the app, it states that the withdrawal is pending. How can that be when I have the cash on me?",pending_cash_withdrawal
How long does it take for cash withdrawals to hit my account?,pending_cash_withdrawal
Can you explain to me why a cash withdrawal shows up as pending?,pending_cash_withdrawal
The machine didn't work earlier when I went to get money out and now my account says transaction in progress.Why?,pending_cash_withdrawal
"I got cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",pending_cash_withdrawal
I made a deposit in the ATM and it has not cleared,pending_cash_withdrawal
withdrawal pending meaning?,pending_cash_withdrawal
What does it mean to have a pending cash withdrawal?,pending_cash_withdrawal
I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.,pending_cash_withdrawal
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",pending_cash_withdrawal
How long before I can see that my cash withdrawal has taken place?,pending_cash_withdrawal
"My cash withdrawal shows pending, why?",pending_cash_withdrawal
My account says I have money but I withdrew it in cash.,pending_cash_withdrawal
How do I get my cash withdrawal to show?,pending_cash_withdrawal
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,pending_cash_withdrawal
"Hello. I have a transaction in my account listed as pending. I tried to use an ATM at the city centre, but the machine declined my card, and I did not receive the money. Why is the transaction still pending if I did not receive the money.",pending_cash_withdrawal
How long does it typically take for a pending ATM withdrawal to clear?,pending_cash_withdrawal
My cash withdrawal shows as pending still.,pending_cash_withdrawal
i withdrew cash and dont see it reflected on the balance,pending_cash_withdrawal
When will my cash withdrawal show/,pending_cash_withdrawal
"Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",pending_cash_withdrawal
Looking at my account I've noticed a charge that appears to still be in progress. I had attempted to get money out of the machine earlier but the machine seemed to have been broken. I never received my money so will you please look into this for me? I don't want to be charged for money I never actually received.,pending_cash_withdrawal
What is a pending cash withdrawal?,pending_cash_withdrawal
When will a cash withdrawal show up?,pending_cash_withdrawal
"Hi, I tried to withdraw some money from an ATM and the machine was broken.  It says that the transaction is still in progress.  Can you double check to see what's happening? I don't want to be charged since I was not able to withdraw the money.",pending_cash_withdrawal
My ATM withdrawal is taking forever,pending_cash_withdrawal
What does it mean when a cash withdrawal is pending?,pending_cash_withdrawal
how long will my cash withdrawal be pending for?,pending_cash_withdrawal
Why is my withdrawl to cash still pending?,pending_cash_withdrawal
Why is the pending status on my cash withdrawal taking so long?,pending_cash_withdrawal
There is a pending transaction on my account for when I tried to get money from the ATM earlier and it did not work. Can you fix this?,pending_cash_withdrawal
The cash I got at the ATM is still in my account.,pending_cash_withdrawal
How long will it take for my cash withdrawal to stop pending,pending_cash_withdrawal
I'm concerned because my cash withdrawal is pending.,pending_cash_withdrawal
What is the reason my cash withdrawal is still pending?,pending_cash_withdrawal
How long will it take for my cash withdrawal to no longer show as pending?,pending_cash_withdrawal
How long until I see a cash withdrawal?,pending_cash_withdrawal
my cash out is still pending,pending_cash_withdrawal
Why does it still charge me even though I was unable to withdraw money from the ATM?,pending_cash_withdrawal
What does it mean if my cash withdrawal is pending?,pending_cash_withdrawal
Why is a transaction still pending?,pending_cash_withdrawal
I am not seeing recent cash withdrawal on my account.,pending_cash_withdrawal
What does a pending cash withdrawal mean?,pending_cash_withdrawal
"I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make.",pending_cash_withdrawal
How long will a cash withdrawal be pending?,pending_cash_withdrawal
