text,category
Cok mau nanya dong,greetings
Hai bagaimana kabarnya?,greetings
Apa kabar?,greetings
Senang bertemu denganmu.,greetings
Hai senang bertemu denganmu.,greetings
Selamat pagi!,greetings
Oh halo,greetings
Buka saluran,greetings
Buka frekuensi panggilan,greetings
Salam,greetings
Oh hei ini kamu,greetings
Shalom,greetings
Oh hai di sana,greetings
Wah hai di sana,greetings
Wah hai,greetings
Wah halo,greetings
Yo,greetings
Yo teman,greetings
Hai bot cerdas,greetings
Hei-hei,greetings
Hai bot,greetings
Hai bot yang peduli,greetings
Hai bot yang ramah,greetings
Oh halo di sana,greetings
Hai di sana!,greetings
Hei kamu,greetings
Hai-ya,greetings
Halo partner,greetings
Oh hei amigo,greetings
Hai bot profesional,greetings
Selamat pagi matahari,greetings
Bangun dan semangat,greetings
Saatnya bangun,greetings
Hari yang baru,greetings
Oh pagi,greetings
Bangun,greetings
Pagi yang diberkati untukmu,greetings
Selamat pagi untukmu bot,greetings
Pagi,greetings
Selamat pagi sinar bintang,greetings
Selamat pagi amigo,greetings
Bangun!,greetings
Bangun dan bersinar,greetings
Selamat pagi untukmu,greetings
Saya mau tanya,greetings
Helooo,greetings
Haiii,greetings
Semoga pagimu menyenangkan,greetings
Oh hei selamat pagi,greetings
Pagi sinar matahari,greetings
Pagi teman,greetings
Pagi sobat,greetings
Pagi bot,greetings
Saatnya bangun dan bersinar,greetings
Selamat malam bot,greetings
Selamat malam,greetings
Selamat siang,greetings
Hei ini kamu!,greetings
Buka saluran komunikasi,greetings
Hai teman,greetings
Halo,greetings
Halo temanku,greetings
Ahoy,greetings
Hai sobat,greetings
Halo di sana,greetings
Halo bot,greetings
Halo sobat,greetings
Halo teman,greetings
Hai kawan,greetings
Ahoy di sana,greetings
Aloha,greetings
Aloha bot,greetings
Bonjour,greetings
Selamat hari,greetings
Memanggil bot,greetings
Salam bot,greetings
Salam teman,greetings
Salam bot ramah,greetings
Salam bot profesional,greetings
Salam bot cerdas,greetings
Hai,greetings
Salam sejahtera,greetings
Guten Morgen,greetings
Selamat pagi,greetings
Buenos dias,greetings
Selamat pagi temanku,greetings
halo saya mau tanya,greetings
Assalamu'alaikum,greetings
Hi bro apa kabar?,greetings
gimana kabar lo bro?,greetings
Selamat sore,greetings
Hai apa kabar?,greetings
Hai bagaimana kabar?,greetings
Apa kabar mu?,greetings
Bagaimana kabar?,greetings
Bagaimana kabar mu?,greetings
Senang berkenalan dengan mu.,greetings
Hai senang berkenalan dengan mu.,greetings
Semoga pagi mu menyenangkan!,greetings
Semoga sehat selalu,greetings
Salam hormat,greetings
Salam kenal,greetings
Selamat datang,greetings
Selamat bertemu,greetings
Senang bertemu dengan Anda,greetings
Terima kasih telah datang,greetings
Salam hangat,greetings
Semoga hari Anda menyenangkan,greetings
Salam sukses,greetings
Selamat beraktivitas,greetings
Salam hormat dari kami,greetings
Selamat berjumpa kembali,greetings
Salam damai,greetings
Selamat menikmati acara,greetings
Selamat datang kembali,greetings
Selamat berkenalan,greetings
Salam bahagia,greetings
Salam untuk keluarga,greetings
Gimana kabarnya?,greetings
Pagi!,greetings
Siang!,greetings
Sore!,greetings
Malam!,greetings
Hey,greetings
Gimana nih?,greetings
Sehat?,greetings
Apa kabar bro?,greetings
Apa kabar sis?,greetings
Selamat datang!,greetings
Makasih udah dateng,greetings
Hai teman!,greetings
Halo kawan!,greetings
Lagi apa?,greetings
Semangat ya!,greetings
Gimana kabar lo?,greetings
Apa kabar semua?,greetings
Hey apa kabar?,greetings
Selamat bergabung,greetings
Gimana hari ini?,greetings
Hai di sana Cortana,greetings
Salam Gerty,greetings
Halo R2-D2,greetings
Hei Bishop,greetings
Halo Ava,greetings
Halo Bishop,greetings
Halo Bixby,greetings
Halo Cortana,greetings
Halo Data,greetings
Halo Gerty,greetings
Halo HAL,greetings
Salam Robby,greetings
Halo Robby,greetings
Halo Samantha,greetings
Halo di sana Alexa,greetings
Halo di sana Cortana,greetings
Halo di sana Google,greetings
Halo di sana Siri,greetings
Halo Wall-E,greetings
Hei Alexa,greetings
Aloha Alexa,greetings
Selamat Siang Wall-E,greetings
Aloha Cortana,greetings
Aloha Google,greetings
Aloha Siri,greetings
Selamat Siang Ava,greetings
Selamat Siang Bishop,greetings
Selamat Siang C-3PO,greetings
Selamat Siang Data,greetings
Selamat Siang Gerty,greetings
Selamat Siang HAL,greetings
Selamat Siang R2-D2,greetings
Salam Siri,greetings
Selamat Siang Samantha,greetings
Salam Alexa,greetings
Salam Ava,greetings
Salam Bishop,greetings
Salam C-3PO,greetings
Salam Cortana,greetings
Salam Data,greetings
Salam Google,greetings
Salam HAL,greetings
Salam R2-D2,greetings
Selamat Siang Robby,greetings
Apa kabar Cortana,greetings
Hei Ava,greetings
Hai di sana Bixby,greetings
Hai di sana Google,greetings
Hai di sana Siri,greetings
Hai Wall-E,greetings
Oh halo Bixby,greetings
Oh halo Cortana,greetings
Oh halo Google,greetings
Oh halo Siri,greetings
Hai Siri,greetings
Apa kabar Alexa,greetings
Hai Samantha,greetings
Apa kabar Google,greetings
Apa kabar Siri,greetings
Kenapa halo Alexa,greetings
Kenapa halo Bixby,greetings
Kenapa halo Cortana,greetings
Kenapa halo Google,greetings
Kenapa halo Siri,greetings
Yo Alexa,greetings
Yo Cortana,greetings
Yo Google,greetings
OK Google,greetings
Hai Ava,greetings
Hei C-3PO,greetings
Hei Cortana,greetings
Hei Data,greetings
Hei Gerty,greetings
Hei HAL,greetings
Hei Robby,greetings
Hei Samantha,greetings
Hei Siri,greetings
Hei Wall-E,greetings
Hai di sana Alexa,greetings
Hai Alexa,greetings
Yo Siri,greetings
Hai Bishop,greetings
Hai Bixby,greetings
Hai C-3PO,greetings
Hai Cortana,greetings
Hai Data,greetings
Hai Gerty,greetings
Hai Google,greetings
Hai HAL,greetings
Hai R2-D2,greetings
Hai Robby,greetings
Hei Google,greetings
Permisi,greetings
Bon soir,greetings
Buenas tardes,greetings
Semoga kamu memiliki malam yang baik,greetings
Nikmati malammu,greetings
Malam,greetings
Selamat malam teman,greetings
Malam untukmu,greetings
Ngobrol malam bot,greetings
Nikmati malamnya,greetings
Malam teman,greetings
Malam robot,greetings
Selamat malam untukmu,greetings
Semoga kamu memiliki malam yang hebat,greetings
Semoga malamnya menyenangkan,greetings
Semoga malam ini baik,greetings
Halo! Saya ingin mengetahui bagaimana cara memastikan bahwa kartu saya akan segera tiba. Bisa berikan informasi?,non-greetings
Saya sudah menunggu beberapa hari tetapi kartu saya masih belum datang juga. Bisakah saya tahu apa yang terjadi?,non-greetings
Maaf saya ingin mengetahui apakah ada cara untuk mengetahui status pengiriman kartu saya yang baru.,non-greetings
Hai CS! Saya khawatir kartu saya hilang dalam perjalanan. Apakah Anda bisa membantu saya melacaknya?,non-greetings
Sudah hampir dua minggu sejak saya memesan kartu baru saya tetapi belum ada tanda-tanda kedatangannya. Ada yang salah?,non-greetings
Apakah Anda punya informasi terkait pengiriman kartu? Saya sudah menunggu cukup lama.,non-greetings
Bagaimana cara saya tahu apakah kartu saya sudah dikirim atau belum?,non-greetings
Saya khawatir paket kartu saya hilang dalam pengiriman. Adakah cara untuk mengonfirmasi status pengirimannya?,non-greetings
Permisi. saya ingin memastikan bahwa kartu saya akan segera tiba. Boleh saya tahu perkiraan waktu kedatangannya?,non-greetings
Saya masih belum menerima kartu saya setelah beberapa minggu. Bagaimana saya bisa memeriksa status pengirimannya?,non-greetings
Apakah ada cara untuk melacak kartu saya? Saya khawatir itu hilang.,non-greetings
Mohon bantu saya mengetahui status pengiriman kartu saya. Sudah cukup lama saya menunggu.,non-greetings
Kenapa kartu baru saya masih belum tiba juga? Apakah ada masalah dalam pengirimannya?,non-greetings
Saya masih menunggu kartu?,non-greetings
Apa yang bisa saya lakukan jika kartu saya belum sampai setelah 2 minggu?,non-greetings
Saya sudah menunggu satu minggu lebih. Apakah kartu akan tetap saya terima?,non-greetings
Apakah bisa untuk melacak proses pengantaran kartu saya?,non-greetings
Bagaimana cara saya tahu apakah saya bisa mendapatkan kartu saya atau hilang?,non-greetings
Kapan kartu saya dikirim?,non-greetings
Apakah ada informasi tentang pengiriman kartu?,non-greetings
Apa yang saya lakukan jika tetap tidak menerima kartu saya?,non-greetings
Saya baru saja mendapatkan kartu baru. Bagaimana caranya untuk menghubungkannya ke aplikasi?,non-greetings
Kartu saya telah ditemukan setelah hilang. Apakah ada langkah khusus yang harus saya lakukan untuk menghubungkannya kembali ke aplikasi?,non-greetings
Bagaimana cara menambahkan kartu saya ke dalam aplikasi? Saya ingin mulai menggunakannya segera.,non-greetings
Apakah ada panduan tentang cara memasukkan kartu saya ke dalam aplikasi?,non-greetings
Saya menemukan kartu yang hilang dan ingin menghubungkannya kembali ke aplikasi. Bisakah Anda membantu?,non-greetings
Saya ingin memasukkan kartu baru ke dalam aplikasi. Bagaimana langkah-langkahnya?,non-greetings
Bagaimana cara menampilkan kartu saya di aplikasi? Saya butuh panduan.,non-greetings
Saya baru saja menemukan kartu saya setelah kehilangan. Bagaimana cara memasukkannya ke dalam aplikasi?,non-greetings
Saya menemukan kartu yang hilang. Apakah saya perlu menghubungkannya kembali ke aplikasi?,non-greetings
Bagaimana cara menghubungkan kartu saya ke aplikasi? Saya ingin menggunakan kartu tersebut segera.,non-greetings
Apakah ada cara untuk memasukkan kartu yang hilang ke dalam aplikasi kembali?,non-greetings
Saya menemukan kartu yang hilang. Bagaimana cara memasukkannya ke dalam aplikasi?,non-greetings
Saya baru saja mendapatkan kartu baru. Bagaimana caranya untuk menghubungkannya ke aplikasi?,non-greetings
Kartu saya telah ditemukan setelah hilang. Apakah ada langkah khusus yang harus saya lakukan untuk menghubungkannya kembali ke aplikasi?,non-greetings
Bagaimana cara menambahkan kartu saya ke dalam aplikasi? Saya ingin mulai menggunakannya segera.,non-greetings
Apakah ada panduan tentang cara memasukkan kartu saya ke dalam aplikasi?,non-greetings
Saya menemukan kartu yang hilang dan ingin menghubungkannya kembali ke aplikasi. Bisakah Anda membantu?,non-greetings
Saya ingin memasukkan kartu baru ke dalam aplikasi. Bagaimana langkah-langkahnya?,non-greetings
Bagaimana cara menampilkan kartu saya di aplikasi? Saya butuh panduan.,non-greetings
Saya baru saja menemukan kartu saya setelah kehilangan. Bagaimana cara memasukkannya ke dalam aplikasi?,non-greetings
Kartu saya telah ditemukan. Apakah ada cara bagi saya untuk mengembalikannya ke aplikasi?,non-greetings
Saya baru saja melakukan penarikan tunai dari ATM tetapi transaksi masih tertunda. Apa yang harus saya lakukan?,non-greetings
Apakah wajar jika penarikan tunai saya masih tertunda setelah beberapa jam?,non-greetings
Saya melakukan penarikan tunai tetapi uangnya belum muncul di rekening saya. Apakah ini normal?,non-greetings
Tolong jelaskan mengapa penarikan tunai saya masih dalam status tertunda.,non-greetings
Saya membutuhkan bantuan dengan penarikan tunai yang tertunda. Bisakah Anda membantu?,non-greetings
Berapa lama waktu yang diperlukan untuk menyelesaikan penarikan tunai yang tertunda?,non-greetings
